id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
431935,38,admin.,single,secondary,no,626,yes,no,unknown,9,may,7,11,-1,0,unknown,0
706625,35,technician,married,secondary,no,887,no,no,cellular,8,aug,93,2,-1,0,unknown,0
729006,43,management,single,tertiary,no,1035,yes,no,cellular,21,nov,6,7,-1,0,unknown,0
645175,46,admin.,married,secondary,no,0,no,no,cellular,19,aug,76,2,-1,0,unknown,0
9289,29,management,single,secondary,no,16,no,no,cellular,25,feb,105,2,192,4,other,0
603541,32,admin.,married,tertiary,no,-1053,yes,no,cellular,21,jul,357,3,-1,0,unknown,0
129812,31,management,single,tertiary,no,1172,no,no,cellular,20,aug,81,3,-1,0,unknown,0
324670,30,technician,married,secondary,no,717,no,no,cellular,29,aug,77,2,-1,0,unknown,0
615221,33,management,married,tertiary,no,-370,yes,no,unknown,28,may,98,1,-1,0,unknown,0
561843,49,blue-collar,married,primary,no,1,yes,no,cellular,8,may,169,1,361,2,other,0
344818,32,blue-collar,single,primary,no,2869,yes,no,cellular,20,nov,173,1,-1,0,unknown,0
505738,31,blue-collar,single,secondary,no,1012,yes,no,cellular,14,may,80,4,-1,0,unknown,0
428484,35,technician,married,secondary,no,862,no,no,cellular,17,jul,122,1,-1,0,unknown,0
42664,29,technician,single,tertiary,no,-97,yes,no,cellular,6,may,622,2,330,13,failure,1
614347,41,technician,single,secondary,no,2346,yes,no,cellular,11,may,611,1,347,1,failure,1
59715,31,self-employed,married,tertiary,no,658,no,no,cellular,13,aug,298,2,112,3,failure,1
552314,59,management,married,tertiary,no,5296,no,no,cellular,17,nov,479,1,-1,0,unknown,0
561377,48,entrepreneur,married,tertiary,no,18931,no,no,cellular,10,aug,253,3,98,2,success,1
555404,32,blue-collar,married,primary,no,38,yes,no,cellular,13,may,75,1,-1,0,unknown,0
266958,59,management,married,tertiary,no,1730,yes,no,telephone,17,nov,442,1,-1,0,unknown,0
533729,58,management,married,tertiary,no,1297,no,yes,unknown,6,jun,12,1,-1,0,unknown,0
538787,60,management,married,tertiary,no,1674,no,no,cellular,10,jul,89,1,-1,0,unknown,0
543207,75,retired,married,primary,no,495,no,no,cellular,9,sep,229,1,92,1,success,1
202895,44,services,divorced,secondary,no,-179,yes,no,cellular,15,may,333,2,-1,0,unknown,0
254503,33,management,married,tertiary,no,-733,yes,no,cellular,22,jul,113,1,-1,0,unknown,0
295020,30,management,single,tertiary,no,1682,no,no,cellular,23,mar,112,1,106,2,failure,1
19608,43,technician,married,secondary,no,1072,yes,no,cellular,31,jul,119,2,-1,0,unknown,0
490984,34,self-employed,single,secondary,no,1004,no,no,cellular,20,nov,144,1,-1,0,unknown,0
225298,45,management,divorced,tertiary,no,-401,yes,no,cellular,19,aug,129,2,-1,0,unknown,0
127432,34,technician,married,unknown,no,486,yes,no,unknown,2,jun,142,1,-1,0,unknown,0
379786,44,unemployed,single,secondary,no,3232,no,no,telephone,13,nov,515,2,-1,0,unknown,1
175088,38,blue-collar,married,secondary,no,4608,yes,no,unknown,8,may,123,1,-1,0,unknown,0
334438,51,management,married,tertiary,no,2656,yes,no,unknown,15,may,103,1,-1,0,unknown,0
623305,58,admin.,single,secondary,no,5,yes,no,unknown,13,may,113,1,-1,0,unknown,0
511073,27,technician,single,secondary,no,476,yes,no,cellular,25,jul,97,1,-1,0,unknown,0
216004,31,management,married,tertiary,no,934,yes,no,cellular,18,aug,72,3,-1,0,unknown,0
444242,55,admin.,divorced,secondary,no,-180,no,yes,cellular,1,jul,957,2,-1,0,unknown,1
554265,59,retired,married,secondary,no,0,no,no,cellular,19,aug,39,2,-1,0,unknown,0
145569,34,admin.,married,secondary,no,603,yes,no,cellular,22,jul,151,3,-1,0,unknown,0
229681,36,admin.,married,secondary,no,5,yes,no,telephone,28,jul,125,5,-1,0,unknown,0
312680,32,admin.,single,tertiary,no,15,yes,no,cellular,24,feb,95,1,91,1,success,0
480734,46,management,married,tertiary,no,5021,no,no,telephone,3,jul,653,1,-1,0,unknown,0
198775,43,self-employed,married,secondary,no,1691,no,no,unknown,15,may,87,1,-1,0,unknown,0
245935,32,management,single,tertiary,no,36,no,no,cellular,19,aug,478,2,-1,0,unknown,0
249206,32,management,single,tertiary,no,0,no,no,cellular,19,aug,50,5,-1,0,unknown,0
109528,54,technician,single,secondary,no,1063,yes,no,unknown,21,may,479,1,-1,0,unknown,0
247548,33,management,single,tertiary,no,0,no,no,cellular,27,aug,126,4,-1,0,unknown,0
491725,44,self-employed,married,secondary,no,594,no,no,cellular,8,aug,102,1,-1,0,unknown,0
293804,39,blue-collar,married,secondary,no,1785,no,no,cellular,3,feb,150,1,-1,0,unknown,0
236910,31,management,single,tertiary,no,775,no,no,cellular,4,feb,8,5,-1,0,unknown,0
319117,27,management,single,secondary,no,3432,no,yes,cellular,22,jul,102,2,-1,0,unknown,0
495014,53,management,married,tertiary,no,1777,yes,no,cellular,21,nov,83,3,-1,0,unknown,0
104254,45,blue-collar,married,unknown,no,753,no,no,cellular,31,jul,11,11,-1,0,unknown,0
589953,41,blue-collar,married,secondary,no,934,yes,no,unknown,14,may,166,2,-1,0,unknown,0
185583,35,blue-collar,single,secondary,no,644,yes,no,cellular,18,may,43,2,-1,0,unknown,0
59040,36,technician,single,secondary,no,431,no,no,cellular,25,oct,173,3,185,3,success,1
403959,50,services,divorced,secondary,no,0,yes,no,unknown,20,jun,179,2,-1,0,unknown,0
540448,45,technician,married,secondary,no,1731,yes,no,unknown,29,may,486,2,-1,0,unknown,0
640693,28,admin.,single,secondary,yes,-625,yes,no,unknown,18,jun,105,3,-1,0,unknown,0
160307,28,technician,single,tertiary,no,961,no,no,unknown,23,may,298,1,-1,0,unknown,0
595945,59,retired,married,tertiary,no,643,no,no,cellular,5,aug,128,1,-1,0,unknown,0
227692,27,housemaid,married,primary,no,0,yes,no,cellular,22,jul,106,2,-1,0,unknown,0
527407,44,blue-collar,married,unknown,no,728,no,no,unknown,12,jun,139,1,-1,0,unknown,0
229709,39,services,married,secondary,no,-114,yes,no,unknown,21,may,369,2,-1,0,unknown,0
647618,47,admin.,married,secondary,no,757,no,no,cellular,11,jul,84,2,-1,0,unknown,0
695444,33,technician,single,tertiary,no,11219,no,no,cellular,18,nov,84,1,-1,0,unknown,0
34972,60,management,married,tertiary,no,469,yes,no,unknown,5,jun,89,4,-1,0,unknown,0
20854,27,management,single,tertiary,no,1047,no,no,cellular,9,sep,595,1,184,2,success,1
151349,38,blue-collar,divorced,secondary,no,1227,no,no,cellular,10,dec,567,4,182,1,failure,1
499642,44,management,married,tertiary,no,0,yes,no,cellular,3,feb,406,1,182,13,other,1
8173,47,management,married,secondary,no,4056,no,no,unknown,20,jun,24,3,-1,0,unknown,0
658852,36,management,married,tertiary,no,-3,no,no,cellular,14,aug,95,4,-1,0,unknown,0
388762,45,blue-collar,single,primary,no,355,yes,no,unknown,29,may,151,1,-1,0,unknown,0
458211,45,blue-collar,divorced,primary,no,1004,yes,no,unknown,12,jun,736,11,-1,0,unknown,1
353,28,technician,single,secondary,no,-46,no,no,cellular,4,feb,236,2,-1,0,unknown,0
360344,35,management,married,tertiary,no,1163,yes,no,unknown,6,may,210,2,-1,0,unknown,0
354094,53,management,married,tertiary,no,-303,no,no,telephone,9,apr,103,6,-1,0,unknown,0
367755,33,technician,married,secondary,no,0,no,no,unknown,20,may,147,1,-1,0,unknown,0
108469,41,admin.,married,secondary,no,-429,yes,yes,cellular,14,jul,793,8,-1,0,unknown,0
496858,39,management,single,tertiary,no,816,yes,no,unknown,30,may,99,1,-1,0,unknown,0
201204,37,technician,divorced,secondary,no,0,yes,no,cellular,13,may,1013,1,85,2,other,1
444183,25,blue-collar,single,secondary,no,174,yes,yes,cellular,14,may,1688,2,330,1,failure,0
605044,35,services,married,primary,no,484,no,no,unknown,16,jun,906,1,-1,0,unknown,0
305371,42,services,married,secondary,no,797,yes,no,unknown,3,jun,87,7,-1,0,unknown,0
15946,50,blue-collar,married,primary,no,708,yes,no,cellular,28,aug,70,8,-1,0,unknown,0
282786,37,technician,single,secondary,no,609,yes,no,unknown,19,may,607,5,-1,0,unknown,0
439987,51,technician,married,secondary,no,-11,yes,no,cellular,11,aug,153,8,-1,0,unknown,0
101571,32,technician,married,secondary,no,1780,yes,no,unknown,26,may,114,6,-1,0,unknown,0
41411,49,technician,married,secondary,no,1339,no,no,unknown,9,jun,696,2,-1,0,unknown,1
24668,30,admin.,married,secondary,no,-213,no,yes,cellular,14,jul,134,3,-1,0,unknown,0
212703,24,blue-collar,single,secondary,no,834,no,no,cellular,16,apr,80,1,317,1,failure,0
344587,39,admin.,single,secondary,no,1322,yes,no,unknown,12,jun,67,2,-1,0,unknown,0
588316,32,blue-collar,married,primary,no,-18,no,yes,cellular,10,jul,93,1,-1,0,unknown,0
389028,43,technician,married,secondary,no,1443,no,no,cellular,6,aug,629,6,-1,0,unknown,1
514521,37,management,married,tertiary,no,1477,no,no,cellular,4,feb,104,1,-1,0,unknown,0
397573,57,management,married,secondary,no,2887,no,no,unknown,14,may,144,1,-1,0,unknown,0
580381,64,retired,married,secondary,no,1027,no,no,cellular,28,jan,847,1,-1,0,unknown,1
460814,60,retired,married,tertiary,no,5267,no,no,cellular,28,aug,201,5,181,3,success,1
303205,34,admin.,single,secondary,no,1150,yes,no,cellular,14,may,25,10,-1,0,unknown,0
213758,53,blue-collar,married,secondary,no,724,yes,no,cellular,18,aug,82,2,-1,0,unknown,0
515294,49,blue-collar,divorced,primary,no,1128,no,yes,unknown,18,jun,819,4,-1,0,unknown,0
338034,28,management,single,tertiary,no,682,no,no,cellular,27,feb,667,1,-1,0,unknown,1
49383,54,entrepreneur,married,tertiary,no,1134,yes,no,unknown,26,may,185,6,-1,0,unknown,0
426249,32,technician,single,secondary,no,941,no,no,cellular,2,jun,148,1,-1,0,unknown,0
266505,57,management,married,secondary,no,5423,yes,no,cellular,21,jul,89,3,-1,0,unknown,0
371980,34,technician,married,secondary,no,0,yes,no,cellular,16,jul,119,7,-1,0,unknown,0
711148,51,admin.,married,secondary,no,769,no,no,cellular,4,aug,343,1,-1,0,unknown,0
432048,46,technician,married,secondary,no,1,yes,no,cellular,27,feb,621,1,92,5,success,1
282934,53,self-employed,divorced,secondary,no,816,no,yes,cellular,7,jul,121,1,-1,0,unknown,0
132053,40,technician,married,secondary,no,548,no,yes,cellular,29,jan,86,1,-1,0,unknown,0
391126,41,management,married,tertiary,no,0,no,no,cellular,30,jul,92,2,-1,0,unknown,0
661764,44,management,married,tertiary,no,0,yes,no,cellular,5,may,231,1,-1,0,unknown,0
423053,49,housemaid,married,primary,no,0,no,yes,unknown,18,jun,81,3,-1,0,unknown,0
44179,47,technician,married,secondary,no,0,no,no,cellular,2,feb,139,1,-1,0,unknown,0
303726,35,technician,single,tertiary,no,4594,no,no,cellular,24,jul,509,2,-1,0,unknown,0
600465,37,management,single,tertiary,no,0,no,no,cellular,22,aug,98,4,-1,0,unknown,0
481135,48,retired,married,primary,no,0,no,no,cellular,12,may,728,1,364,1,failure,0
226236,31,blue-collar,single,secondary,no,823,yes,no,unknown,23,may,172,3,-1,0,unknown,0
606684,32,technician,divorced,secondary,no,0,yes,no,cellular,10,jul,144,1,-1,0,unknown,0
617532,47,housemaid,married,primary,no,51439,no,no,telephone,14,jul,25,3,-1,0,unknown,0
364053,58,management,married,tertiary,no,2796,no,no,unknown,30,may,143,1,-1,0,unknown,0
408856,37,blue-collar,married,secondary,no,0,yes,no,cellular,6,may,183,3,-1,0,unknown,0
4886,36,self-employed,married,tertiary,no,-547,no,yes,cellular,22,jul,117,1,-1,0,unknown,0
364003,33,blue-collar,married,secondary,no,3037,yes,no,unknown,21,may,48,2,-1,0,unknown,0
9439,54,management,married,tertiary,no,1301,no,no,cellular,11,aug,90,4,-1,0,unknown,0
179952,58,housemaid,divorced,primary,no,3104,yes,no,unknown,9,jun,115,1,-1,0,unknown,0
258894,49,housemaid,married,primary,no,4348,yes,no,unknown,6,jun,761,2,-1,0,unknown,0
633855,31,management,married,tertiary,no,509,yes,no,cellular,25,aug,728,10,-1,0,unknown,0
389187,26,admin.,single,secondary,no,0,no,no,cellular,10,jul,133,1,-1,0,unknown,0
273098,36,entrepreneur,married,secondary,no,0,no,no,unknown,6,jun,63,1,-1,0,unknown,0
621859,28,blue-collar,single,secondary,no,568,no,no,cellular,2,jun,203,1,90,3,success,0
644639,34,blue-collar,married,secondary,no,1161,yes,yes,telephone,13,may,784,2,175,3,failure,0
360018,43,technician,single,secondary,no,11,no,no,cellular,22,aug,70,7,-1,0,unknown,0
228311,25,services,single,secondary,no,-14,yes,no,cellular,18,may,165,1,-1,0,unknown,0
280681,39,technician,married,secondary,no,0,no,no,cellular,8,jul,97,1,-1,0,unknown,0
77616,54,self-employed,married,tertiary,no,755,no,no,cellular,31,jul,1212,5,-1,0,unknown,0
217759,52,services,divorced,secondary,no,241,yes,no,unknown,6,may,717,1,-1,0,unknown,0
173560,25,student,single,tertiary,no,1804,no,no,cellular,13,nov,113,2,-1,0,unknown,0
667498,37,technician,single,tertiary,no,0,yes,no,cellular,18,nov,268,1,-1,0,unknown,0
190139,50,services,divorced,secondary,no,797,yes,no,unknown,18,jun,134,6,-1,0,unknown,0
531379,55,admin.,married,secondary,no,0,no,no,unknown,11,jun,114,2,-1,0,unknown,0
213480,33,technician,single,secondary,no,561,yes,no,cellular,11,aug,119,6,-1,0,unknown,0
16940,39,management,married,tertiary,no,2980,yes,no,cellular,24,jul,74,2,-1,0,unknown,0
342287,37,blue-collar,single,secondary,no,1039,yes,yes,cellular,20,nov,114,2,-1,0,unknown,0
451798,34,management,single,tertiary,no,2900,no,no,cellular,14,aug,566,2,-1,0,unknown,1
493626,33,management,married,tertiary,no,11,no,no,cellular,7,aug,159,2,-1,0,unknown,0
89435,45,blue-collar,married,secondary,no,-342,no,no,unknown,18,jun,153,11,-1,0,unknown,0
111549,40,technician,married,secondary,no,467,yes,yes,unknown,16,may,431,2,-1,0,unknown,0
533245,32,technician,single,tertiary,no,3308,no,no,cellular,18,aug,605,2,-1,0,unknown,1
172676,45,technician,married,secondary,no,0,no,no,cellular,4,aug,90,1,-1,0,unknown,0
52857,45,blue-collar,married,unknown,no,629,no,no,telephone,10,jul,9,5,-1,0,unknown,0
89219,45,technician,married,secondary,no,1477,yes,no,cellular,8,may,99,1,-1,0,unknown,0
687343,32,technician,single,tertiary,no,0,no,no,cellular,28,aug,48,22,-1,0,unknown,0
106966,37,blue-collar,married,secondary,no,-119,no,no,cellular,8,jul,143,4,-1,0,unknown,0
509532,39,management,divorced,tertiary,no,0,yes,no,cellular,6,may,87,1,-1,0,unknown,0
315196,53,admin.,married,secondary,no,2059,no,no,cellular,5,aug,1011,3,-1,0,unknown,1
580003,34,blue-collar,married,secondary,no,0,yes,no,cellular,2,feb,211,2,-1,0,unknown,0
34183,52,admin.,married,secondary,no,796,no,no,cellular,9,jul,796,1,-1,0,unknown,1
442094,34,management,married,tertiary,no,130,yes,yes,unknown,23,may,5,2,-1,0,unknown,0
519233,39,entrepreneur,divorced,secondary,yes,-1110,yes,yes,unknown,2,jun,179,2,-1,0,unknown,0
124392,44,management,married,tertiary,no,906,yes,yes,unknown,5,may,579,2,-1,0,unknown,0
444032,40,blue-collar,married,secondary,no,983,no,no,unknown,5,jun,78,2,-1,0,unknown,0
587247,28,admin.,single,secondary,no,6,no,yes,cellular,5,feb,15,7,-1,0,unknown,0
496951,53,admin.,married,tertiary,no,9072,no,no,telephone,18,nov,18,2,-1,0,unknown,0
607910,56,blue-collar,married,secondary,no,1669,no,no,cellular,5,aug,110,5,-1,0,unknown,0
479188,52,self-employed,divorced,secondary,no,2157,yes,no,unknown,20,may,14,7,-1,0,unknown,0
640933,39,management,single,tertiary,no,2161,no,no,cellular,30,apr,679,1,-1,0,unknown,1
112351,42,housemaid,married,primary,no,182,no,no,cellular,7,aug,107,2,-1,0,unknown,0
51812,46,management,married,tertiary,no,1801,no,no,cellular,11,sep,545,2,-1,0,unknown,0
124870,36,management,married,secondary,no,6463,no,yes,cellular,21,nov,158,1,-1,0,unknown,0
609761,39,admin.,married,unknown,no,0,no,no,unknown,6,jun,147,1,-1,0,unknown,0
411914,52,admin.,divorced,secondary,no,749,yes,no,unknown,3,jun,88,6,-1,0,unknown,0
462481,50,management,married,tertiary,no,4045,no,no,unknown,19,jun,48,4,-1,0,unknown,0
89907,38,technician,single,unknown,no,0,yes,no,cellular,28,jul,48,3,-1,0,unknown,0
281953,44,management,married,secondary,no,641,yes,yes,unknown,5,jun,113,1,-1,0,unknown,0
233327,31,blue-collar,single,secondary,no,-2,yes,no,cellular,18,may,178,2,-1,0,unknown,0
482770,37,technician,married,secondary,no,528,yes,yes,cellular,17,apr,191,1,-1,0,unknown,0
462289,39,blue-collar,married,primary,no,551,yes,no,cellular,17,apr,73,2,-1,0,unknown,0
629757,35,blue-collar,married,secondary,no,1513,yes,no,unknown,23,may,805,3,-1,0,unknown,0
316463,29,management,single,tertiary,no,482,no,no,cellular,6,feb,1135,4,-1,0,unknown,1
571799,44,admin.,married,secondary,no,4343,yes,no,cellular,1,sep,91,4,-1,0,unknown,0
150322,51,management,married,tertiary,no,0,no,no,cellular,21,nov,74,2,-1,0,unknown,0
74048,34,admin.,married,secondary,no,938,yes,no,cellular,25,jul,151,1,-1,0,unknown,0
74912,51,unemployed,divorced,secondary,no,722,no,no,unknown,6,feb,49,1,-1,0,unknown,0
507079,33,management,divorced,tertiary,no,-2,yes,no,cellular,13,may,67,1,-1,0,unknown,0
636811,53,management,divorced,secondary,no,-24,yes,no,unknown,26,may,202,1,-1,0,unknown,0
458184,52,admin.,married,secondary,no,967,no,no,unknown,20,jun,415,2,-1,0,unknown,0
21756,35,admin.,married,secondary,no,-196,yes,no,cellular,25,aug,135,4,-1,0,unknown,0
81827,49,services,single,secondary,no,-178,yes,no,unknown,16,jun,73,1,-1,0,unknown,0
132009,57,housemaid,married,tertiary,no,1387,no,no,cellular,7,aug,99,1,99,1,failure,0
12572,43,admin.,married,secondary,no,2215,yes,no,cellular,23,jul,564,1,-1,0,unknown,0
716264,45,technician,married,secondary,no,205,no,no,cellular,24,jul,467,2,-1,0,unknown,0
417233,33,technician,married,secondary,no,479,yes,no,cellular,20,apr,73,3,-1,0,unknown,0
626447,47,blue-collar,married,secondary,no,1780,yes,yes,unknown,19,jun,588,1,-1,0,unknown,0
386324,57,management,married,tertiary,no,0,no,no,cellular,12,aug,394,3,-1,0,unknown,0
739083,32,management,single,tertiary,no,837,yes,no,cellular,14,may,15,10,-1,0,unknown,0
484458,47,blue-collar,married,primary,no,557,yes,no,cellular,3,feb,69,3,271,4,failure,0
227088,35,management,married,tertiary,no,707,yes,no,unknown,27,may,130,2,-1,0,unknown,0
95223,35,management,single,tertiary,no,0,no,no,cellular,22,aug,107,4,-1,0,unknown,0
652644,26,blue-collar,single,secondary,no,579,no,yes,cellular,21,jul,572,4,-1,0,unknown,0
315555,55,services,married,primary,no,574,no,no,unknown,5,jun,394,2,-1,0,unknown,0
277858,32,management,single,tertiary,no,548,yes,no,cellular,8,may,126,2,-1,0,unknown,0
108919,57,entrepreneur,married,tertiary,no,2920,no,no,cellular,17,nov,49,2,-1,0,unknown,0
227273,32,technician,married,secondary,no,-119,yes,no,unknown,27,may,176,1,-1,0,unknown,0
678910,46,technician,divorced,tertiary,no,587,yes,no,unknown,14,may,477,1,-1,0,unknown,0
85539,50,management,married,secondary,no,434,yes,no,unknown,5,may,617,3,-1,0,unknown,0
87356,31,technician,married,secondary,no,-119,yes,no,cellular,28,aug,95,4,-1,0,unknown,0
178661,80,retired,married,primary,no,8304,no,no,telephone,12,aug,864,1,-1,0,unknown,1
655269,39,management,married,tertiary,no,26,yes,no,unknown,6,may,543,1,-1,0,unknown,0
624109,30,management,single,tertiary,no,1270,yes,no,cellular,15,may,50,2,-1,0,unknown,0
301954,43,services,divorced,secondary,no,-854,no,yes,cellular,30,apr,120,3,-1,0,unknown,0
709166,33,blue-collar,married,secondary,no,328,yes,no,unknown,21,may,638,1,-1,0,unknown,0
178197,69,retired,married,secondary,no,3771,no,no,cellular,16,oct,355,1,91,2,success,1
389961,53,blue-collar,married,primary,no,0,no,yes,cellular,28,aug,73,4,-1,0,unknown,0
736976,63,retired,married,secondary,no,616,no,no,cellular,6,nov,98,2,-1,0,unknown,0
56960,60,blue-collar,divorced,secondary,no,1374,yes,no,cellular,15,may,616,1,-1,0,unknown,0
749532,26,technician,single,tertiary,no,603,yes,no,unknown,28,may,815,1,-1,0,unknown,1
577799,30,services,divorced,secondary,no,5,yes,no,unknown,7,may,125,1,-1,0,unknown,0
271413,47,services,married,secondary,no,-1,no,no,cellular,20,aug,88,2,-1,0,unknown,0
558541,26,technician,single,secondary,no,-211,yes,no,cellular,29,jul,63,5,-1,0,unknown,0
142280,38,services,single,secondary,no,0,yes,yes,cellular,15,may,197,1,-1,0,unknown,0
381291,45,technician,married,secondary,no,2601,no,no,telephone,31,jul,8,3,-1,0,unknown,0
731494,58,technician,single,secondary,no,0,no,no,cellular,29,aug,76,14,-1,0,unknown,0
325004,34,admin.,married,secondary,no,-396,yes,yes,cellular,9,jul,128,1,-1,0,unknown,0
602796,56,blue-collar,married,secondary,no,1381,yes,no,cellular,11,may,535,1,326,5,other,0
590516,48,blue-collar,divorced,secondary,no,913,yes,no,unknown,6,jun,7,18,-1,0,unknown,0
723404,53,unemployed,married,tertiary,no,1203,no,no,cellular,21,nov,36,4,-1,0,unknown,0
397899,43,blue-collar,single,unknown,no,953,yes,no,telephone,11,may,8,5,336,13,failure,0
70868,45,unemployed,married,secondary,no,-35,no,no,cellular,28,jan,70,1,-1,0,unknown,0
345298,41,management,single,tertiary,no,1667,no,no,cellular,9,apr,605,2,-1,0,unknown,1
384503,55,retired,married,secondary,no,1828,no,no,unknown,12,jun,59,1,-1,0,unknown,0
590722,42,blue-collar,married,secondary,no,0,yes,no,unknown,30,may,82,4,-1,0,unknown,0
512014,46,admin.,married,secondary,no,926,no,no,unknown,17,jun,139,3,-1,0,unknown,0
234998,47,self-employed,married,tertiary,no,948,no,no,cellular,4,feb,156,1,-1,0,unknown,0
611204,37,admin.,married,secondary,no,0,no,no,unknown,5,jun,147,2,-1,0,unknown,0
462689,28,admin.,single,secondary,no,38,yes,no,unknown,8,may,135,2,-1,0,unknown,0
40230,33,management,single,tertiary,no,-513,no,no,cellular,26,aug,95,4,-1,0,unknown,0
337217,35,technician,married,secondary,no,0,no,no,cellular,11,aug,189,2,-1,0,unknown,0
426555,56,management,married,tertiary,no,870,yes,no,cellular,30,jul,763,12,-1,0,unknown,0
681992,56,blue-collar,married,secondary,no,2473,no,no,cellular,6,aug,111,2,-1,0,unknown,0
219307,41,admin.,married,secondary,no,699,no,no,unknown,20,jun,19,4,-1,0,unknown,0
679940,58,unknown,married,unknown,no,8,no,no,cellular,26,aug,141,8,-1,0,unknown,0
308075,35,technician,divorced,tertiary,no,4,yes,no,unknown,20,may,119,1,-1,0,unknown,0
239707,39,management,married,tertiary,no,953,yes,no,cellular,5,may,159,1,-1,0,unknown,0
500841,59,retired,married,secondary,no,1375,yes,no,cellular,19,nov,124,1,-1,0,unknown,0
66893,35,management,married,tertiary,no,1078,yes,no,cellular,31,jul,9,4,-1,0,unknown,0
130574,42,blue-collar,married,secondary,no,-7,no,yes,cellular,31,jul,106,32,-1,0,unknown,0
555494,31,technician,married,secondary,no,5204,yes,no,cellular,21,nov,489,1,-1,0,unknown,0
543983,33,management,single,tertiary,no,511,no,no,cellular,27,mar,288,2,-1,0,unknown,1
172076,37,blue-collar,married,secondary,no,538,yes,no,unknown,11,jun,139,2,-1,0,unknown,0
264637,31,services,single,unknown,no,39,yes,no,cellular,15,jul,102,4,-1,0,unknown,0
484264,31,admin.,single,secondary,no,397,yes,no,cellular,13,may,536,1,-1,0,unknown,1
635693,45,technician,married,secondary,no,10,no,no,cellular,2,feb,371,2,-1,0,unknown,0
436004,47,technician,married,secondary,no,0,yes,no,cellular,22,jul,190,1,-1,0,unknown,0
434802,30,technician,single,secondary,no,-241,yes,no,cellular,15,may,76,2,-1,0,unknown,0
5943,49,admin.,married,secondary,no,0,yes,no,cellular,31,jul,1039,7,-1,0,unknown,1
427292,48,services,single,secondary,no,519,no,no,unknown,5,jun,437,1,-1,0,unknown,0
38450,26,blue-collar,married,secondary,no,1254,no,yes,cellular,8,jul,446,2,-1,0,unknown,0
167062,57,retired,married,tertiary,no,0,no,no,cellular,18,aug,111,2,-1,0,unknown,0
45524,26,blue-collar,single,secondary,yes,47,no,no,cellular,7,jul,498,1,-1,0,unknown,0
166407,48,admin.,single,secondary,no,-398,no,yes,cellular,21,jul,89,1,-1,0,unknown,0
470907,56,management,married,tertiary,no,2785,no,no,cellular,21,nov,817,5,-1,0,unknown,1
474828,47,services,married,secondary,no,705,no,yes,cellular,8,jul,122,1,-1,0,unknown,0
513830,37,services,married,secondary,no,595,no,no,unknown,17,jun,69,1,-1,0,unknown,0
619950,34,blue-collar,single,secondary,no,603,yes,no,unknown,7,may,528,3,-1,0,unknown,0
645228,43,technician,married,secondary,no,583,no,no,cellular,13,nov,218,1,91,6,success,1
477128,29,housemaid,married,primary,no,439,yes,no,cellular,14,may,129,1,-1,0,unknown,0
665339,55,retired,married,secondary,no,446,yes,no,unknown,13,may,705,1,-1,0,unknown,1
738258,32,management,single,tertiary,no,6127,yes,no,cellular,18,may,121,2,-1,0,unknown,0
141841,50,management,married,primary,no,791,yes,no,cellular,6,feb,56,8,-1,0,unknown,0
62917,31,blue-collar,married,secondary,no,18,yes,no,cellular,12,may,121,1,-1,0,unknown,0
330864,34,technician,single,secondary,no,48,no,no,cellular,19,aug,136,2,-1,0,unknown,0
